GEOID,NAME,year_,AreaBurned
53043,Lincoln,2018,0.0024908027703570185
53045,Mason,2006,0.0004454027668712366
53045,Mason,2012,0.00011071235344885853
53045,Mason,2014,8.076179355128735e-05
53045,Mason,2018,0.0016265551156057967
53047,Okanogan,2001,0.05443473188290827
53047,Okanogan,2002,0.006186811750931248
53047,Okanogan,2003,0.0508831724545014
53047,Okanogan,2004,0.0040861992612019555
53047,Okanogan,2005,0.010747208215708673
53047,Okanogan,2006,0.11201297580135183
53047,Okanogan,2007,0.016487807240544865
53047,Okanogan,2008,0.016992506528685242
53047,Okanogan,2009,0.0070053601045419675
53047,Okanogan,2010,0.00025503441215411266
53047,Okanogan,2011,0.0011753295144899796
53047,Okanogan,2012,0.022715710272826668
53047,Okanogan,2013,0.0014331952336355867
53047,Okanogan,2014,0.13251951620482363
53047,Okanogan,2015,0.6260911208753002
53047,Okanogan,2016,0.00334436221681418
53047,Okanogan,2017,0.05011037105985625
53047,Okanogan,2018,0.040547167381239466
